,zip_code,complaint_count,crime_reports,median_household_income($),population_below_poverty_level(%),unemployment(%),total_population,male(%),female(%)
2,78702,25203,1497.0,34734.0,33.0,11.0,21334.0,51.03121777,48.96878223
5,78723,21723,1960.0,41869.0,29.0,10.0,28330.0,51.42605012,48.57394988
11,78757,14883,1048.0,55156.0,16.0,6.0,21310.0,49.05208822,50.94791178
14,78731,13582,497.0,78265.0,9.0,4.0,24614.0,48.80962054,51.19037946
18,78724,9734,506.0,35711.0,38.0,8.0,21696.0,51.53484513,48.46515487
20,78727,8245,494.0,65687.0,11.0,6.0,26689.0,49.84825209,50.15174791
21,78746,6872,741.0,125327.0,5.0,4.0,26928.0,49.46152704,50.53847296
28,78750,4236,308.0,75958.0,7.0,6.0,26814.0,49.40702618,50.59297382
29,78617,3276,258.0,,,,22210.0,53.9621792,46.0378208
35,78728,1549,4.0,47405.0,14.0,6.0,20299.0,49.33740578,50.66259422
41,78729,563,513.0,57358.0,8.0,7.0,27108.0,49.53150362,50.46849638
47,78610,31,,,,,23502.0,49.80001702,50.19998298
52,78717,2,280.0,93305.0,3.0,5.0,22538.0,48.87301446,51.12698554
53,78621,1,,,,,21659.0,49.76684057,50.23315943
